area,name,price,unit_price,place
领秀新硅谷2号院,1688万,215.97平米,"78,160元/平",haidian
学院南路34号院,1195万,102.3平米,"116,814元/平",haidian
气象西苑,938万,90.23平米,"103,957元/平",haidian
金庄1号院,698万,77.7平米,"89,833元/平",haidian
邮科社区,755万,73.2平米,"103,143元/平",haidian
明光村小区,600万,59.8平米,"100,335元/平",haidian
德胜门西大街甲5号,930万,90.5平米,"102,763元/平",haidian
金沟河2号院,475万,56.4平米,"84,220元/平",haidian
北太平庄路2号院,918万,97.65平米,"94,010元/平",haidian
中关村南大街乙8号,1314万,95.54平米,"137,535元/平",haidian
正源尚峰尚水,965万,124.11平米,"77,754元/平",haidian
知春路82号院,799万,54.3平米,"147,146元/平",haidian
宝盛里,699万,147.74平米,"47,313元/平",haidian
羊坊店路3号院,600万,57.27平米,"104,767元/平",haidian
复兴路61号院,660万,57.6平米,"114,584元/平",haidian
文慧园,670万,61.2平米,"109,478元/平",haidian
领秀新硅谷1号院,899万,95.54平米,"94,097元/平",haidian
新外大街甲25号院,1100万,103平米,"106,797元/平",haidian
碧森里,1120万,131.63平米,"85,087元/平",haidian
城华园,430万,50.71平米,"84,796元/平",haidian
香山清琴麓苑,3500万,373.44平米,"93,724元/平",haidian
厂洼西街10号院,1420万,161.2平米,"88,090元/平",haidian
汤泉逸墅,3456万,312.15平米,"110,717元/平",haidian
甘家口小区,440万,43.3平米,"101,617元/平",haidian
富海中心,625万,66.97平米,"93,326元/平",haidian
高梁桥斜街乙40号院,656万,63平米,"104,127元/平",haidian
人济山庄,1220万,106.24平米,"114,835元/平",haidian
怡秀园小区,1489万,138.72平米,"107,339元/平",haidian
永定路85号院,410万,56.1平米,"73,084元/平",haidian
学院南路6号,564万,57.51平米,"98,070元/平",haidian
西木小区,550万,58.5平米,"94,018元/平",haidian
豪景大厦,1180万,167.54平米,"70,431元/平",haidian
科技大学,615万,57平米,"107,895元/平",haidian
枫丹丽舍,1198万,148.54平米,"80,652元/平",haidian
建设部大院,800万,69.02平米,"115,909元/平",haidian
六建,565万,62.2平米,"90,837元/平",haidian
远大园五区,1240万,110.67平米,"112,045元/平",haidian
怡美家园,1118万,119.96平米,"93,198元/平",haidian
